type,properties/msha_id,properties/namemsha,properties/county,tot_prod,properties/notes,properties/year,geometry/type,lon,lat
Feature,1518538,Auger Mine No 34,Floyd,7637,,2013,Point,-82.68750104771581,37.47219811360254
Feature,1518547,Onton #9,Webster,2367700,,2013,Point,-87.47360000040875,37.576900000307546
Feature,1518565,E4-1,Perry,435827,,2013,Point,-83.15359999975247,37.221699999890916
Feature,1518566,Auger Mine No 35,Letcher,11356,,2013,Point,-82.72498811642463,37.22540689947226
Feature,1518570,Bevins Branch #1,Pike,323293,,2013,Point,-82.60190000038712,37.67110000021418
Feature,1518575,No. 1,Martin,1431198,,2013,Point,-82.6297300001286,37.74162000002451
Feature,1518600,S-12 Calhoun,Breathitt,141582,,2013,Point,-83.22364206915502,37.585288300999665
Feature,1518626,Mine No. 2,Pike,24715,,2013,Point,-82.2358000002022,37.424700000315546
Feature,1518643,Highsplint Strip,Harlan,9447,,2013,Point,-83.11859999955271,36.89639999970875
Feature,1518647,Clover Fork No 1,Harlan,972944,,2013,Point,-82.96609999996572,36.869699999876
Feature,1518662,E3-1,Perry,112428,,2013,Point,-83.1527999996863,37.22140000022197
Feature,1518691,No. 41 Auger S/N 41,Lawrence,9160,,2013,Point,-83.0606000001457,37.97779999977489
Feature,1518713,No 009,Pike,59876,,2013,Point,-82.25030000005395,37.45920000020035
Feature,1518716,Hatfield Gap Surface Mine,Whitley,65946,,2013,Point,-83.92527699978046,36.60111099965114
Feature,1518721,Mine #23,Pike,448883,,2013,Point,-82.55530000012631,37.57059999979195
Feature,1518730,M-102,Floyd,91635,,2013,Point,-82.89338706854356,37.51440188557223
Feature,1518732,Mine No 5,Letcher,314293,,2013,Point,-82.8503000002699,37.022500000047
Feature,1518734,Mine #1,Harlan,29693,,2013,Point,-83.07670000012978,36.86749999987558
Feature,1518737,No 29 Auger,Letcher,5295,,2013,Point,-83.32888799973296,36.72972199970997
Feature,1518738,Buckeye Strip #1,Perry,133039,,2013,Point,-83.10495379358127,37.235305677457745
Feature,1518763,Simpson Br,Floyd,4978,,2013,Point,-82.72030000029797,37.478300000288634
Feature,1518765,Hwm #2,Campbell,31883,,2013,Point,-84.01972199970888,36.4877769999629
Feature,1518769,Blue Ridge Surface Mine,Perry,4438,,2013,Point,-82.82999999993844,37.050000000298596
Feature,1518775,Mine #15,Pike,337460,,2013,Point,-82.42859999997815,37.56250000003366
Feature,1518777,Hazard Job #6,Perry,8810,,2013,Point,-83.19555500032531,37.295276999830676
Feature,1518781,Chavies Job #7,Perry,385229,,2013,Point,-83.36689999987638,37.30250000021938
Feature,1518784,Job #45,Pike,151054,,2013,Point,-82.6278000002834,37.27890000035472
Feature,1518819,Shm-35 (Lick Fork),Whitley,59172,,2013,Point,-79.05444399977215,40.11388799985208
Feature,1518823,Job #42,Pike,400510,,2013,Point,-82.5518999998451,37.36689999971826
